"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000g&c=20000040000000000000000000g004500000000000040000003g&ct=0&ug=8&tl_id=2-A&vs=INTL.33-12-ZAF-BKWH.A&cy=2014&vo=0&v=H&start=2000&end=2014"
"Fri Aug 18 2017 19:05:28 GMT+0200 (CEST)"
"Source: U.S. Energy Information Administration"
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"","Electricity","Billion Kwh"
"","Generation",""
"","Renewables",""
"","Hydroelectricity",""
"","Angola","Billion Kwh",0.9,1,1.1,1.2,1.7,2.197,2.638,2.472,3.103,3.063,3.666,3.967,3.734,4.719,4.991
"","Botswana","Billion Kwh",,,,,,,,,,,,,,,
"","Lesotho","Billion Kwh",0.3,0.3,0.3,0.3,0.3,0.459,0.525,0.554,0.584,0.648,0.694,0.63,0.486,0.5,0.5
"","Malawi","Billion Kwh",1,1,1.1,1.1,1.3,1.307,1.339,1.367,1.521,1.488,1.735,1.809,1.9,1.83,2.05
"","Mozambique","Billion Kwh",9.6,12,13,11,12,13.131,14.57,15.902,14.963,16.781,16.481,16.642,14.994,14.401,16.013
"","Namibia","Billion Kwh",1.4,1.4,1.4,1.5,1.6,1.641,1.59,1.56,1.476,1.395,1.235,1.39,1.591,1.259,1.47
"","South Africa","Billion Kwh",1.3,2.1,2.4,0.8,0.9,1.319,2.869,0.859,1.191,1.386,2.093,2.036,1.193,1.147,0.965
"","Swaziland","Billion Kwh",0.2,0.2,0.2,0.1,0.1,0.157,0.154,0.171,0.157,0.202,0.242,0.28,0.228,0.201,0.254
"","Zambia","Billion Kwh",7.7,7.8,8,8.2,8.4,8.794,9.572,9.535,9.427,9.782,10.331,11.368,12.227,13.148,13.902
"","Zimbabwe","Billion Kwh",3.2,3,3.8,5.3,5.5,4.866,5.257,5.329,5.651,5.403,5.741,5.149,5.336,4.946,5.377 
