Date,STATION,type,MW,EAF %,PCLF %,UCLF %,OCLF %
2017/01/01,Acacia,ocgt,171,100,0,0,0
2017/02/01,Acacia,ocgt,171,96.5,3.33,0.17,0
2017/03/01,Acacia,ocgt,171,100,0,0,0
2017/04/01,Acacia,ocgt,171,100,0,0,0
2017/05/01,Acacia,ocgt,171,99.62,0,0.38,0
2017/06/01,Acacia,ocgt,171,96.22,3.78,0,0
2017/07/01,Acacia,ocgt,171,100,0,0,0
2017/08/01,Acacia,ocgt,171,100,0,0,0
2017/09/01,Acacia,ocgt,171,98.52,0,1.48,0
2017/10/01,Acacia,ocgt,171,90.17,4.06,0,5.77
2017/11/01,Acacia,ocgt,171,92.16,0,0.28,7.56
2017/12/01,Acacia,ocgt,171,99.58,0,0.42,0
2018/01/01,Acacia,ocgt,171,100,0,0,0
2018/02/01,Acacia,ocgt,171,95.51,4.49,0,0
2018/03/01,Acacia,ocgt,171,100,0,0,0
2018/04/01,Acacia,ocgt,171,100,0,0,0
2018/05/01,Acacia,ocgt,171,100,0,0,0
2018/06/01,Acacia,ocgt,171,100,0,0,0
2018/07/01,Acacia,ocgt,171,96.54,3.46,0,0
2018/08/01,Acacia,ocgt,171,92.94,7.06,0,0
2018/09/01,Acacia,ocgt,171,100,0,0,0
2018/10/01,Acacia,ocgt,171,96.25,3.75,0,0
2018/11/01,Acacia,ocgt,171,100,0,0,0
2018/12/01,Acacia,ocgt,171,100,0,0,0
2019/01/01,Acacia,ocgt,171,100,0,0,0
2019/02/01,Acacia,ocgt,171,92.28,7.72,0,0
2019/03/01,Acacia,ocgt,171,97.56,2.44,0,0
2019/04/01,Acacia,ocgt,171,100,0,0,0
2019/05/01,Acacia,ocgt,171,100,0,0,0
2019/06/01,Acacia,ocgt,171,94.78,2.69,0,2.53
2019/07/01,Acacia,ocgt,171,100,0,0,0
2019/08/01,Acacia,ocgt,171,100,0,0,0
2019/09/01,Acacia,ocgt,171,99.68,0,0.32,0
2019/10/01,Acacia,ocgt,171,100,0,0,0
2019/11/01,Acacia,ocgt,171,86.39,13.42,0,0.19
2019/12/01,Acacia,ocgt,171,100,0,0,0
2020/01/01,Acacia,ocgt,171,98.94,0,0,1.06
2020/02/01,Acacia,ocgt,171,95.25,2.68,0,2.07
2020/03/01,Acacia,ocgt,171,100,0,0,0
2020/04/01,Acacia,ocgt,171,98.3,0,1.7,0
2020/05/01,Acacia,ocgt,171,100,0,0,0
2020/06/01,Acacia,ocgt,171,98.06,1.94,0,0
2020/07/01,Acacia,ocgt,171,98.33,1.67,0,0
2020/08/01,Acacia,ocgt,171,100,0,0,0
2020/09/01,Acacia,ocgt,171,100,0,0,0
2020/10/01,Acacia,ocgt,171,96.58,3.42,0,0
2020/11/01,Acacia,ocgt,171,100,0,0,0
2020/12/01,Acacia,ocgt,171,100,0,0,0
2021/01/01,Acacia,ocgt,171,100,0,0,0
2021/02/01,Acacia,ocgt,171,88.95,11.05,0,0
2021/03/01,Acacia,ocgt,171,95.47,4.53,0,0
2021/04/01,Acacia,ocgt,171,100,0,0,0
2021/05/01,Acacia,ocgt,171,81.78,0,3.95,14.27
2021/06/01,Acacia,ocgt,171,82.78,0,0,17.22
2021/07/01,Acacia,ocgt,171,77.23,0,4.3,18.47
2021/08/01,Acacia,ocgt,171,100,0,0,0
2021/09/01,Acacia,ocgt,171,100,0,0,0
2021/10/01,Acacia,ocgt,171,96.49,3.51,0,0
2021/11/01,Acacia,ocgt,171,100,0,0,0
2021/12/01,Acacia,ocgt,171,100,0,0,0
2022/01/01,Acacia,ocgt,171,99.94,0,0.06,0
2022/02/01,Acacia,ocgt,171,95.24,4.76,0,0
2022/03/01,Acacia,ocgt,171,99.94,0,0.06,0
2022/04/01,Acacia,ocgt,171,100,0,0,0
2022/05/01,Acacia,ocgt,171,100,0,0,0
2022/06/01,Acacia,ocgt,171,95.74,4.26,0,0
2022/07/01,Acacia,ocgt,171,99.68,0,0,0.32
2017/01/01,Ankerlig,ocgt,1327,95.66,3.13,0,1.21
2017/02/01,Ankerlig,ocgt,1327,79.92,20.08,0,0
2017/03/01,Ankerlig,ocgt,1327,91.99,8.01,0,0
2017/04/01,Ankerlig,ocgt,1327,94.79,5.21,0,0
2017/05/01,Ankerlig,ocgt,1327,80.59,19.41,0,0
2017/06/01,Ankerlig,ocgt,1327,96.08,3.87,0.05,0
2017/07/01,Ankerlig,ocgt,1327,89.79,10.21,0,0
2017/08/01,Ankerlig,ocgt,1327,98.28,0,0,1.72
2017/09/01,Ankerlig,ocgt,1327,98.96,0.16,0,0.88
2017/10/01,Ankerlig,ocgt,1327,97.82,0.59,0,1.59
2017/11/01,Ankerlig,ocgt,1327,100,0,0,0
2017/12/01,Ankerlig,ocgt,1327,99.61,0,0.37,0.02
2018/01/01,Ankerlig,ocgt,1327,99.83,0.17,0,0
2018/02/01,Ankerlig,ocgt,1327,99.99,0,0,0.01
2018/03/01,Ankerlig,ocgt,1327,99.91,0,0,0.09
2018/04/01,Ankerlig,ocgt,1327,98.92,1.08,0,0
2018/05/01,Ankerlig,ocgt,1327,99.87,0.13,0,0
2018/06/01,Ankerlig,ocgt,1327,99.85,0.13,0.02,0
2018/07/01,Ankerlig,ocgt,1327,98.24,1.76,0,0
2018/08/01,Ankerlig,ocgt,1327,99.43,0.57,0,0
2018/09/01,Ankerlig,ocgt,1327,99.69,0.31,0,0
2018/10/01,Ankerlig,ocgt,1327,99.86,0,0.1,0.04
2018/11/01,Ankerlig,ocgt,1327,98.52,1.27,0.1,0.11
2018/12/01,Ankerlig,ocgt,1327,94.04,0,5.86,0.1
2019/01/01,Ankerlig,ocgt,1327,99.01,0.31,0.01,0.67
2019/02/01,Ankerlig,ocgt,1327,98.75,0.18,0.31,0.76
2019/03/01,Ankerlig,ocgt,1327,99.22,0,0.66,0.12
2019/04/01,Ankerlig,ocgt,1327,98.97,0.43,0.59,0.01
2019/05/01,Ankerlig,ocgt,1327,99.29,0.71,0,0
2019/06/01,Ankerlig,ocgt,1327,99.73,0.27,0,0
2019/07/01,Ankerlig,ocgt,1327,99.37,0.61,0.02,0
2019/08/01,Ankerlig,ocgt,1327,97.93,0.6,0,1.47
2019/09/01,Ankerlig,ocgt,1327,95.57,0.84,0.31,3.28
2019/10/01,Ankerlig,ocgt,1327,99.25,0.13,0.61,0.01
2019/11/01,Ankerlig,ocgt,1327,99.35,0.6,0,0.05
2019/12/01,Ankerlig,ocgt,1327,99.47,0.33,0.07,0.13
2020/01/01,Ankerlig,ocgt,1327,95.32,4.42,0.12,0.14
2020/02/01,Ankerlig,ocgt,1327,97.08,2.76,0.13,0.03
2020/03/01,Ankerlig,ocgt,1327,97.32,1.92,0.76,0
2020/04/01,Ankerlig,ocgt,1327,98.98,1.02,0,0
2020/05/01,Ankerlig,ocgt,1327,99.75,0.19,0.06,0
2020/06/01,Ankerlig,ocgt,1327,97.45,2.55,0,0
2020/07/01,Ankerlig,ocgt,1327,97.21,2.39,0.37,0.03
2020/08/01,Ankerlig,ocgt,1327,99.53,0.37,0.1,0
2020/09/01,Ankerlig,ocgt,1327,99.59,0.33,0.08,0
2020/10/01,Ankerlig,ocgt,1327,100,0,0,0
2020/11/01,Ankerlig,ocgt,1327,99.69,0.31,0,0
2020/12/01,Ankerlig,ocgt,1327,99.48,0.43,0.02,0.07
2021/01/01,Ankerlig,ocgt,1327,99.19,0.47,0,0.34
2021/02/01,Ankerlig,ocgt,1327,96.26,0.18,0.08,3.48
2021/03/01,Ankerlig,ocgt,1327,97.75,0.13,0.07,2.05
2021/04/01,Ankerlig,ocgt,1327,97.77,0.47,1.72,0.04
2021/05/01,Ankerlig,ocgt,1327,99.71,0.28,0.01,0
2021/06/01,Ankerlig,ocgt,1327,99.28,0.52,0.18,0.02
2021/07/01,Ankerlig,ocgt,1327,99.79,0.17,0.04,0
2021/08/01,Ankerlig,ocgt,1327,98.22,0.51,0,1.27
2021/09/01,Ankerlig,ocgt,1327,99.19,0.47,0.34,0
2021/10/01,Ankerlig,ocgt,1327,99.45,0.3,0.05,0.2
2021/11/01,Ankerlig,ocgt,1327,99.26,0.53,0.12,0.09
2021/12/01,Ankerlig,ocgt,1327,99.73,0.25,0,0.02
