,,Heat rate (GJ/MWhe),Efficiency,Emmisions production (tCo2/MWhe),Emmisions per MWhth,,,
COA-Arnot,2232,12.744,28.2485875706215%,1047,295.762711864407,,0.0563821456538763,16.6757362993244
COA-Camden,1110,13.584,26.5017667844523%,1116,295.759717314488,,0.0280395079192664,8.29295693583958
COA-Duvha,2875,12.066,29.8359025360517%,991,295.673794132273,,0.0726248515926946,21.4732654187052
COA-Grootvlei,572,13.79,26.1058738216099%,1133,295.77955039884,,0.0144491878647031,4.27377429025024
COA-Hendrina,880,13.266,27.1370420624152%,1093,296.607869742198,,0.0222295197918509,6.59345051085291
COA-Kelvin,160,12.372,29.09796314258%,1375,400.096993210475,,0.00404173087124561,1.61708436895132
COA-Kendal,3840,11.782,30.5550840264811%,1056,322.66168731964,,0.0970015409098947,31.2986808625917
COA-Komati,114,15.123,23.8048006347947%,1242,295.65562388415,,0.0028797332457625,0.851409329395839
COA-Kriel,2850,12.995,27.7029626779531%,1010,279.799923047326,,0.0719933311440625,20.1437285140293
COA-Kusile,4320,10.305,34.9344978165939%,947,330.829694323144,,0.109126733523632,36.1023638941062
COA-Lethabo,3558,11.003,32.7183495410343%,986,322.602926474598,,0.0898779902493243,28.9949026800874
COA-MajubaDry,1833,11.782,30.5550840264811%,1056,322.66168731964,,0.0463030792937075,14.9402296930028
COA-MajubaWet,2010,11.032,32.6323422770123%,988,322.407541696882,,0.050774244070023,16.3699992121336
COA-Matimba,3690,11.682,30.8166409861325%,1047,322.650231124807,,0.0932124182181019,30.0750082817728
COA-Matla,3450,12.066,29.8359025360517%,991,295.673794132273,,0.0871498219112335,25.7679185024463
COA-Medupi,4338,10.305,34.9344978165939%,930,324.890829694323,,0.109581428246647,35.602001142142
COA-Tutuka,1755,10.495,34.3020485945688%,981,336.50309671272,,0.0443327354939753,14.9181027794686
COA-Sasol_SSF_Coal,,12.372,29.09796314258%,,0,,,313.9906127151
GAS-Sasol_Infragas_ICE,,10,36%,432,155.52,,,
GAS-Sasol_Synfuel_Gas,,12,30%,574,172.2,,,
PEA-Acacia,,11.519,31.2527129091067%,574,179.390572098272,,,
PEA-Ankerlig,,11.519,31.2527129091067%,574,179.390572098272,,,
PEA-Avon_Peaking,,11.519,31.2527129091067%,574,179.390572098272,,,
PEA-Dedisa_Peaking,,11.519,31.2527129091067%,574,179.390572098272,,,
PEA-Gourikwa,,11.519,31.2527129091067%,574,179.390572098272,,,
PEA-PortRex,,11.519,31.2527129091067%,574,179.390572098272,,,
