scenario,technology,parameter,2019,2020,2025,2030,2035,2040,2045,2050,unit
csir_ambitions_2019,coal,CO2 intensity,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,tCO2/MWth
csir_ambitions_2019,CSP,CO2 intensity,0,0,0,0,0,0,0,0,tCO2/MWth
csir_ambitions_2019,diesel,CO2 intensity,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,tCO2/MWth
csir_ambitions_2019,gas,CO2 intensity,0.187,0.187,0.187,0.187,0.187,0.187,0.187,0.187,tCO2/MWth
csir_ambitions_2019,solar,discount rate,8.2%,8.2%,8.2%,8.2%,8.2%,8.2%,8.2%,8.2%,per unit
csir_ambitions_2019,solar-rooftop,discount rate,8.2%,8.2%,8.2%,8.2%,8.2%,8.2%,8.2%,8.2%,per unit
csir_ambitions_2019,solar-utility,discount rate,8.2%,8.2%,8.2%,8.2%,8.2%,8.2%,8.2%,8.2%,per unit
csir_ambitions_2019,biomass,heat_rate,12.386,12.386,12.386,12.386,12.386,12.386,12.386,12.386,GJ/MWh
csir_ambitions_2019,CCGT,heat_rate,7.395,7.395,7.395,7.395,7.395,7.395,7.395,7.395,GJ/MWh
csir_ambitions_2019,coal,heat_rate,9.812,9.812,9.812,9.812,9.812,9.812,9.812,9.812,GJ/MWh
csir_ambitions_2019,CSP,heat_rate,,,,,,,,,GJ/MWh
csir_ambitions_2019,diesel,heat_rate,11.519,11.519,11.519,11.519,11.519,11.519,11.519,11.519,GJ/MWh
csir_ambitions_2019,geothermal,heat_rate,,,,,,,,,GJ/MWh
csir_ambitions_2019,nuclear,heat_rate,10.657,10.657,10.657,10.657,10.657,10.657,10.657,10.657,GJ/MWh
csir_ambitions_2019,OCGT,heat_rate,11.519,11.519,11.519,11.519,11.519,11.519,11.519,11.519,GJ/MWh
csir_ambitions_2019,battery inverter,efficiency,89%,89%,89%,89%,89%,89%,89%,89%,per unit
csir_ambitions_2019,biomass,efficiency,29%,29%,29%,29%,29%,29%,29%,29%,per unit
csir_ambitions_2019,CCGT,efficiency,49%,49%,49%,49%,49%,49%,49%,49%,per unit
csir_ambitions_2019,coal,efficiency,37%,37%,37%,37%,37%,37%,37%,37%,per unit
csir_ambitions_2019,CSP,efficiency,,,,,,,,,per unit
csir_ambitions_2019,diesel,efficiency,31%,31%,31%,31%,31%,31%,31%,31%,per unit
csir_ambitions_2019,geothermal,efficiency,,,,,,,,,per unit
csir_ambitions_2019,nuclear,efficiency,34%,34%,34%,34%,34%,34%,34%,34%,per unit
csir_ambitions_2019,OCGT,efficiency,31%,31%,31%,31%,31%,31%,31%,31%,per unit
csir_ambitions_2019,hydro,efficiency,90%,90%,90%,90%,90%,90%,90%,90%,per unit
csir_ambitions_2019,onwind,efficiency,,,,,,,,,per unit
csir_ambitions_2019,PHS,efficiency,75%,75%,75%,75%,75%,75%,75%,75%,per unit
csir_ambitions_2019,ror,efficiency,90%,90%,90%,90%,90%,90%,90%,90%,per unit
csir_ambitions_2019,solar,efficiency,,,,,,,,,per unit
csir_ambitions_2019,solar-rooftop,efficiency,,,,,,,,,per unit
csir_ambitions_2019,solar-utility,efficiency,,,,,,,,,per unit
csir_ambitions_2019,battery inverter,FOM,697,697,697,697,697,697,697,697,ZAR/kWel
csir_ambitions_2019,biomass,FOM,2028,2028,2028,2028,2028,2028,2028,2028,ZAR/kWel
csir_ambitions_2019,CCGT,FOM,203,203,203,203,203,203,203,203,ZAR/kWel
csir_ambitions_2019,coal,FOM,1133,1133,1133,1133,1133,1133,1133,1133,ZAR/kWel
csir_ambitions_2019,CSP,FOM,1203,1203,1203,1203,1203,1203,1203,1203,%/year
